title,vote_average,vote_count,sentiment_score,topsis_score
Forrest Gump,8.477,25409,0.9306,0.8286822379396527
Harry Potter and the Philosopher's Stone,7.916,25379,0.7579,0.7957485551469043
Interstellar,8.417,32571,0.34,0.7944535825412716
Deadpool,7.606,28894,0.5106,0.7821638249010748
Django Unchained,8.171,24672,0.5574,0.7677040992273146
Titanic,7.9,23637,0.6124,0.7564805252954743
Star Wars,8.204,19155,0.8979,0.7399190364864094
Back to the Future,8.314,18442,0.9136,0.7347079850348339
The Lord of the Rings: The Return of the King,8.474,22334,0.4588,0.7332991027053642
Pirates of the Caribbean: The Curse of the Black Pearl,7.794,19233,0.891,0.7302580087041537
Parasite,8.515,16430,0.8807,0.712234617588782
Pulp Fiction,8.488,25893,0.1531,0.7119350743812549
Harry Potter and the Half-Blood Prince,7.697,18127,0.7935,0.7064838435020203
Ant-Man,7.082,18730,0.886,0.7043012714841154
The Truman Show,8.133,16827,0.8126,0.7034395748666569
